US State,Address,Latitude,Longitude,STATUS
Florida,"11401 NW 12th St Suite I - 100, Sweetwater, FL 33172",25.786484,-80.381519,LIVE
Texas,"3000 Grapevine Mills Pkwy, Grapevine, TX 76051",32.967136,-97.044304,LIVE
Florida,"12801 W Sunrise Blvd, Sunrise, FL 33323",26.158043,-80.319781,LIVE
North Carolina,"8241 Concord Mills Boulevard, Concord, NC 28027",35.369291,-80.720375,LIVE
Texas,"8401 Gateway Blvd W, El Paso, TX 79925",31.775304,-106.384406,LIVE
Texas,"5000 Katy Mills Cir, Houston, TX 77494",29.776646,-95.809385,LIVE
Tennesee,"1800 Galleria Blvd #4000, Franklin, TN 37067",35.957212,-86.814796,LIVE
Tennesee,"2800 N Germantown Pkwy ste 100, Memphis, TN 38133",35.201968,-89.787192,LIVE
Illinois,"6170 W Grand Ave, Gurnee, IL 60031",42.390235,-87.95934,LIVE
