US State,Address,Latitude,Longitude
New York,"445 Albee Square W, Brooklyn, NY 11201",40.690765,-73.983336
New York,"1051, Valley Stream, NY 11581",40.652253,-73.711775
New York,"630 Old Country Rd, Garden City, NY 11530",40.739672,-73.613543
New York,"5100 Kings Plz, Brooklyn, NY 11234",40.609945,-73.921949
New York,"162-10 Jamaica Ave, Queens, NY 11432",40.704361,-73.797258
New York,"90-15 Queens Blvd, Queens, NY 11373",40.733991,-73.870695
New York,"9 Smith Haven Mall, Lake Grove, NY 11755",40.864051,-73.130482
New Jersey,"651 Kapkowski Rd Suite 200, Elizabeth, NJ 07201",40.659945,-74.171135
New Jersey,"50 Mall Dr W, Jersey City, NJ 07310",40.728498,-74.037814
New Jersey,"1 American Dream Wy D350, East Rutherford, NJ 07073",40.808986,-74.068645
New York,"2655 Richmond Ave, Staten Island, NY 10314",40.581928,-74.167253
New Jersey,"3710 US-9, Freehold, NJ 07728",40.254624,-74.302791
New York,"150 West 34th Street New York, NY 10001",40.750524,-73.989903
Texas,"North East Mall, 1101 Melbourne Rd, Hurst, TX 76053",32.832541,-97.197869
Maryland,"3500 East-West Hwy, Hyattsville, MD 20782",38.96858,-76.957431
Connecticut,"Fair Mall, 7 Backus Ave, Danbury, CT 06810",41.380786,-73.478676
Virginia,"1961 Chain Bridge Road Mall #J010L, McLean, VA 22102",38.917858,-77.222918
Maryland,"7000 Arundel Mills Circle, Arundel Mills Cir Suite F1, Hanover, MD 21076",39.157365,-76.724852
Illinois,"5 Woodfield Mall, Schaumburg, IL 60173",42.047479,-88.03775
Illinois,"35 N State St, Chicago, IL 60602",41.882976,-87.627192
Virginia,"2700 Potomac Mills Cir, Woodbridge, VA 22192",38.641461,-77.295467
Florida,"The Florida Mall, 8001 S Orange Blossom Trl suite 1420b, Orlando, FL 32809",28.448143,-81.397166
Michigan,"4612 Baldwin Rd, 933 Great Lakes Crossing Cir, Auburn Hills, MI 48326",42.714744,-83.307353
New York,"1 Walden Galleria, Buffalo, NY 14225",42.912361,-78.762745
Massachusetts,"250 Granite St, Braintree, MA 02184",42.222113,-71.024123
Massachusetts,"10 Summer St, Boston, MA 02110",42.355427,-71.059906
Massachusetts,"75 Middlesex Turnpike, Burlington, MA 01803",42.482252,-71.213295
New York,"1 Crossgates Mall Rd, Albany, NY 12203",42.688836,-73.849017
Pennsylvania,"Mall, 160 N Gulph Rd, King of Prussia, PA 19406",40.08838,-75.392581
Pennsylvania,"1033 Market St, Philadelphia, PA 19107",39.951443,-75.157281
Pennsylvania,"2500 W Moreland Rd, Willow Grove, PA 19090",40.140183,-75.123582
Texas,"2200 S 10th St, McAllen, TX 78503",26.187267,-98.235879
Florida,"11401 NW 12th St Suite I - 100, Sweetwater, FL 33172",25.786484,-80.381519
Texas,"3000 Grapevine Mills Pkwy, Grapevine, TX 76051",32.967136,-97.044304
Florida,"12801 W Sunrise Blvd, Sunrise, FL 33323",26.158043,-80.319781
North Carolina,"8241 Concord Mills Boulevard, Concord, NC 28027",35.369291,-80.720375
Texas,"8401 Gateway Blvd W, El Paso, TX 79925",31.775304,-106.384406
Texas,"5000 Katy Mills Cir, Houston, TX 77494",29.776646,-95.809385
Tennesee,"1800 Galleria Blvd #4000, Franklin, TN 37067",35.957212,-86.814796
Tennesee,"2800 N Germantown Pkwy ste 100, Memphis, TN 38133",35.201968,-89.787192
Illinois,"6170 W Grand Ave, Gurnee, IL 60031",42.390235,-87.95934
New York,"150 West 34th Street New York, NY 10001",40.750524,-73.989903
